IMO_Number,Vessel_Name,Vessel_Age,Flag_State,Vessel_Type,Past_Deficiencies
9438456,ARMADA TUAH 25,16,Liberia,Bulk Carrier,1
9118147,FEDERAL SCHELDE,16,Liberia,Container,12
7380746,DOVE,16,Liberia,Chemical Tanker,9
9127538,EGY FUTURE,16,Liberia,Bulk Carrier,10
1011599,HAMPSHIRE II,16,Liberia,Gas Carrier,10
9439723,MONTCLAR,16,Liberia,Bulk Carrier,8
9441257,BÜYÜK VARAN 2,16,Liberia,Bulk Carrier,2
9437062,CSAV BRASILIA,16,Liberia,Chemical Tanker,11
9026813,HOANG LINH 36,16,Liberia,Bulk Carrier,1
7206031,SINU I WASA,16,Liberia,Bulk Carrier,10
7332593,ÓLAFUR BJARNASON SH 137,16,Liberia,Container,2
9437218,IMO 9437218,16,Liberia,Gas Carrier,8
9123221,MSC ELSA 3,16,Liberia,Bulk Carrier,5
9462031,APL YANGSHAN,16,Liberia,Container,5
9137454,M-0200 IVAN SHANKOV,16,Liberia,Container,10
1011795,SECRET,16,Liberia,Gas Carrier,3
9554822,BLACK JADE,16,Liberia,Container,4
9186651,BAHAMAS SPIRIT,16,Liberia,Chemical Tanker,10
9434917,MAERSK NIAMEY,16,Liberia,Bulk Carrier,2
9126467,LEVANT HORIZON,16,Liberia,Gas Carrier,6
1169683,SAMPHILL,16,Liberia,Chemical Tanker,3
9117272,USNS BRUCE C. HEEZEN,16,Liberia,Container,8
9134672,BLPL GRACE,16,Liberia,Bulk Carrier,8
1169750,PORT MACQUARIE,16,Liberia,Chemical Tanker,7
9436422,CARTAGENA TRADER,16,Liberia,Gas Carrier,1
9190157,AUTOPRESTIGE,16,Liberia,Bulk Carrier,1
1135163,CHENISTON,16,Liberia,Bulk Carrier,6
9127356,SVITZER BENTLEY,16,Liberia,Gas Carrier,5
7414547,SURYA KARTIKA,16,Liberia,Chemical Tanker,8
5367685,IMO 5367685,16,Liberia,Chemical Tanker,9
9435117,FRIEDA,16,Liberia,Chemical Tanker,2
7428794,TE ARATAI,16,Liberia,Bulk Carrier,5
7406681,ALISON NICOLE 1,16,Liberia,Gas Carrier,10
9127148,Q83596195,16,Liberia,Gas Carrier,5
9125085,WILSON CORPACH,16,Liberia,Chemical Tanker,6
1085277,RUGBEIAN,16,Liberia,Bulk Carrier,1
1010648,SEA RHAPSODY,16,Marshall Islands,Gas Carrier,4
9127435,ALBACORA UNO,16,Liberia,Chemical Tanker,2
9437933,GRANDE GABON,16,Liberia,Container,9
9826110,PAPALEMOS,16,Liberia,Gas Carrier,1
9242766,ANGLIAN PRINCESS,16,Liberia,Container,12
9104811,SAKAR,16,Liberia,Chemical Tanker,3
9126625,HAV STREYM,16,Liberia,Bulk Carrier,10
7331197,PESCA MAR NO.5,16,Liberia,Container,8
1012919,OCEANCO Y716,16,Liberia,Container,8
9443164,CPO MALAYSIA,16,Liberia,Gas Carrier,10
9125580,MARY H,16,Liberia,Chemical Tanker,2
8609357,VESTURVON,16,Liberia,Gas Carrier,10
9585003,BURRARD PACIFIC BREEZE,16,Liberia,Chemical Tanker,6
9264910,PACIFIC EURUS,16,Liberia,Bulk Carrier,8
106,"TAMAYA (SHIP, 1862)",16,France,Gas Carrier,11
7332139,MACLER,16,Liberia,Bulk Carrier,1
9139335,IMO 9139335,16,Liberia,Chemical Tanker,5
1008164,SERAFIMA,16,Liberia,Container,8
9658721,FOREVER ONE,16,Cayman Islands,Gas Carrier,8
1011903,LARISA,16,Liberia,Chemical Tanker,8
1012866,AQUARIUS,16,Liberia,Chemical Tanker,8
9123386,FALCON,16,Liberia,Chemical Tanker,1
9436185,CAPE NABIL,16,Liberia,Bulk Carrier,10
1169114,SS MATELOTS PILLIEN ET PEYRAT,16,Liberia,Chemical Tanker,9
9436173,CAPE NEMO,16,Liberia,Chemical Tanker,7
1007005,ESPIRITU SANTO,16,Liberia,Chemical Tanker,12
7718125,PERSEPOLIS,16,Liberia,Bulk Carrier,4
5184980,IRBIS,16,Liberia,Container,11
7125926,AILSA,16,Liberia,Chemical Tanker,7
9893606,LNG ENDEAVOUR,16,Liberia,Bulk Carrier,12
9558490,PHOENIX,16,Liberia,Gas Carrier,3
9169225,Q83593065,16,Liberia,Bulk Carrier,10
9000247,TRANS SCANDIC,16,Liberia,Bulk Carrier,11
6800842,ANTON TAMMSAARE,16,Liberia,Bulk Carrier,11
9442433,SIEM AMETHYST,16,Liberia,Chemical Tanker,3
7635581,WIS-107 ATAIR,16,Liberia,Gas Carrier,0
9127162,ALTA MAR,16,Liberia,Gas Carrier,6
9100748,WAVE SENTINEL,16,Liberia,Chemical Tanker,6
6717837,CECILIE MÆRSK,16,Liberia,Chemical Tanker,5
9124457,PEHUENCO,16,Liberia,Gas Carrier,9
8320779,LIBERTY,16,Liberia,Gas Carrier,10
9440693,BIGUA,16,Liberia,Gas Carrier,5
9587477,AM POINT LISAS,16,Liberia,Chemical Tanker,7
9046784,ENERGY ORPHEUS,16,Liberia,Container,12
9229219,SAN CIRIACO,16,Liberia,Bulk Carrier,5
9048598,NUSANUR 2,16,Liberia,Gas Carrier,6
9439709,KOTA LAWA,16,Liberia,Gas Carrier,8
9904950,Q133301892,16,Liberia,Bulk Carrier,12
1010088,ARKLEY,16,Liberia,Gas Carrier,11
9548823,NAVARRA,16,Liberia,Chemical Tanker,4
1149451,BADJESTAN,16,Liberia,Bulk Carrier,12
7380356,JIN HANG JUN 304,16,Liberia,Container,8
9123570,ODDA MARIE,16,Liberia,Container,9
9437244,ADMIRAL SUN,16,Liberia,Bulk Carrier,11
1012294,GRACE,16,Liberia,Bulk Carrier,3
